"PID","CITY","ZIPCODE","LUC","OWN_OCC","LIVING_AREA","YR_BUILT","EXT_COND","BED_RMS","FULL_BTH","VALUE_2015","VALUE_2016","VALUE_2017","VALUE_2018","VALUE_2019","VALUE_2020","VALUE_2021"
100386000,"EAST BOSTON","02128",101,"N",939,1876,"F - Fair",1,1,187000,259500,275000,283300,297600,333100,356300
100389000,"EAST BOSTON","02128",101,"N",795,1900,"A - Average",3,1,176700,219200,232400,239400,251400,281700,345400
100442000,"EAST BOSTON","02128",101,"N",1094,1890,"A - Average",3,1,196900,222500,226900,247400,272100,304800,388700
100456000,"EAST BOSTON","02128",101,"Y",1044,1900,"A - Average",3,1,139800,194000,197800,231800,254900,285500,339800
100458000,"EAST BOSTON","02128",101,"Y",1344,1900,"A - Average",3,1,146400,234400,239100,260600,286600,321100,376400
100514000,"EAST BOSTON","02128",101,"Y",1200,1910,"A - Average",4,1,184800,235900,250100,257600,270600,303200,404200
100515000,"EAST BOSTON","02128",101,"Y",1264,1899,"A - Average",3,1,213500,252700,267900,276000,289900,328200,395000
100516000,"EAST BOSTON","02128",101,"Y",1027,1910,"A - Average",3,2,151600,186300,197500,203500,213700,248900,359500
100519000,"EAST BOSTON","02128",101,"N",1358,1900,"A - Average",3,1,191100,238800,253200,260800,273900,306900,393300
100556000,"EAST BOSTON","02128",101,"Y",1420,1916,"F - Fair",2,1,132000,193200,204800,211000,221600,248300,319400
100561000,"EAST BOSTON","02128",101,"Y",1064,1920,"A - Average",2,1,214700,251100,266200,274200,288000,322700,371700
100562000,"EAST BOSTON","02128",101,"Y",775,1910,"F - Fair",3,1,150800,214500,227400,234200,246000,275600,311400
100563000,"EAST BOSTON","02128",101,"Y",1011,1910,"A - Average",3,1,197700,234500,248600,256100,269000,301400,368300
100565000,"EAST BOSTON","02128",101,"Y",1112,1910,"A - Average",3,1,217400,262100,277800,286200,300600,336800,433100
100566000,"EAST BOSTON","02128",101,"Y",1164,1910,"A - Average",2,1,185700,243200,257800,265500,278900,312500,387400
100572000,"EAST BOSTON","02128",101,"Y",1400,1930,"A - Average",3,1,219100,254900,302100,310100,325700,364900,396700
100577000,"EAST BOSTON","02128",101,"Y",1890,1900,"A - Average",2,2,322600,370500,392700,404600,424900,476100,541500
100588000,"EAST BOSTON","02128",101,"Y",1350,1910,"A - Average",1,1,198100,231400,245200,252600,265400,297300,362600
100596000,"EAST BOSTON","02128",101,"N",980,1900,"A - Average",3,1,199700,235800,249900,257500,270500,307300,375400
100599000,"EAST BOSTON","02128",101,"Y",1146,1998,"A - Average",3,1,293700,335200,355300,366100,384500,430900,598400
100603000,"EAST BOSTON","02128",101,"N",1040,1905,"F - Fair",2,3,315500,358100,334900,340000,342500,383500,445500
100604000,"EAST BOSTON","02128",101,"N",1600,1920,"A - Average",3,1,267600,306400,324800,334600,351400,398500,468900
100605000,"EAST BOSTON","02128",101,"Y",2019,1915,"A - Average",3,1,225300,297700,315600,325100,341500,383100,489800
100625000,"EAST BOSTON","02128",101,"Y",2016,1925,"A - Average",4,2,335500,395300,419000,431700,453400,507700,645600
100628000,"EAST BOSTON","02128",101,"Y",1822,1900,"A - Average",3,1,267200,304500,322800,332600,349300,391300,493300
100630000,"EAST BOSTON","02128",101,"Y",1974,1900,"A - Average",3,2,316800,334600,354700,365400,432600,484400,618000
100641000,"EAST BOSTON","02128",101,"Y",2204,1890,"A - Average",3,2,336400,383300,406300,418600,439700,492600,655800
100654000,"EAST BOSTON","02128",101,"Y",1496,1900,"A - Average",3,1,228300,243500,258100,265900,279300,313300,422200
100655000,"EAST BOSTON","02128",101,"Y",1518,1900,"A - Average",2,1,230300,257800,273300,281500,295700,328900,425000
100682000,"EAST BOSTON","02128",101,"Y",1364,1910,"G - Good",2,1,266000,289300,306600,315900,331800,371700,492300
100686000,"EAST BOSTON","02128",101,"Y",1345,1910,"A - Average",3,2,260400,294100,311800,321200,337300,377900,455600
100690000,"EAST BOSTON","02128",101,"Y",2693,1910,"A - Average",4,2,352700,393300,416900,429500,451100,505200,592300
100691000,"EAST BOSTON","02128",101,"Y",2880,2007,"A - Average",3,2,378800,437600,463900,477900,503900,565900,621900
100703000,"EAST BOSTON","02128",101,"Y",2004,1900,"A - Average",3,1,246300,280600,297400,306400,321800,360500,447800
100705000,"EAST BOSTON","02128",101,"Y",1140,1910,"F - Fair",3,1,219900,262200,278000,286300,300800,338100,379800
100706000,"EAST BOSTON","02128",101,"Y",1405,1910,"A - Average",3,1,267500,289700,307000,316300,332200,372200,437900
100707000,"EAST BOSTON","02128",101,"Y",2123,1975,"G - Good",2,1,270900,310700,329400,339300,414500,464700,560700
100708000,"EAST BOSTON","02128",101,"Y",1644,1847,"A - Average",4,2,205800,298200,316100,325700,342100,383200,458500
100709000,"EAST BOSTON","02128",101,"Y",1632,1910,"A - Average",2,1,306400,335700,355900,366600,385100,431400,508000
100711000,"EAST BOSTON","02128",101,"Y",1232,1910,"G - Good",2,1,242700,264200,280000,288500,303000,341000,408000
